CONTENT,CLASS
Katy Perry - Roar (Official): http://youtu.be/CevxZvSJLk8. I love this song  and video Katy Perry Rocks Wahoo! 😀😘﻿,0
check out my rapping hope you guys like it  https://soundcloud.com/nereboy/call-of-the-lostproduce-by-atlastatlas-rapper-jkork  and follow and message me :)﻿,1
Who is watching in 2015 like﻿,0
Hello. I only made ONE Eminem song on my channel. Could you guys just put A LIKE on it please? Don&#39;t need to subscribe. Thanks.,1
"coby this USL and past :<br /><a href=""http://adf.ly"">http://adf.ly</a> /1HmVtX<br />delete space after y﻿",1
this fucking song like a&#39;n oreo the only white part is the good 1﻿,0
wanna earn money online without investment.....just visit this link .....therglove.blogspot.in/2013/08/blog-post_10.html,1
great l subscribe﻿,1
"Shuffling all the way with LMFAO! I like this one, wish I could shuffle like these crazy dudes﻿",0
Katy perry is and inspirational singer her voice is awesome and I loved her  so much . She achieved music history and I couldn't believe that . Guys if  you could take 1min to go to my channel and watch my first video I would be  greatly thankful for this :) ty guys N katy is still awesome xoxo﻿,1
"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  When does the flimsy slip facilitate the manager? How does the noise set goals the anxious regret? How does the actually loss retrieve the smile?",1
Subscribe my channel  I RECORDING FIFA 15 GOALS WATCH NOW :D﻿,1
At least she didn't get rid of her completely useless makeup.﻿,0
"You guys should check out this EXTRAORDINARY website called FIREPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at FIREPA.COM !   Visit FIREPA.COM and check it out!   Lake   . Busyglide . Sasaroo . Sore . Chillpal . Axiomatic . Naperone . Mere . Undesirable . Agreeable . Encouraging . Imperfect . Roasted . Insidious . Modgone . Quickest . Trelod . Keen . Fresh . Economic . Bocilile",1
"Enough with the whole ""how does this have two billion views if there's only  7 million on the planet"" we get it. You're joking. It's not funny anymore.﻿",0
Check out this video on YouTube:﻿,1
Please friend read my book and repass: http://www.4shared.com/web/preview/pdf/CjFofTxeba?﻿,1
Check out this video on YouTube:﻿,1
I cried this song bringing back some hard memories﻿,0
I miss when people dressed like this.﻿,0
How To Make A Lot Of Money Fast,1
reminds me of this song https://soundcloud.com/popaegis/wrenn-almond-eyes﻿,1
pleas subscribe on me for ps4 games video <br /><i>______________________________</i><br />if you have som tips so contact me on kik or skype<br /><i>______________________________</i><br />Kik: pander26<br />Skype: sander.nicolaysen2<br /><i>______________________</i><br />pleas subscribe on me and Kashoo Gaming﻿,1
Share this video.. This song can beat PSY - Gangnam Style!,1
2010:(﻿,0
Follow me on Twitter @mscalifornia95﻿,1
i like this steps...﻿,0
If interested in making extra money by internet use the next link www.swagbucks.com/refer/Nonturtle02﻿,1
nice ..very nice﻿,0
"Hey guys im a 17yr old rapper trying to get exposure... I live in belgium where NO ONE speaks english so i have to resort to this gay SPAM...  Check out my 2 latest tracks as they are probably my best.. Audio isnt the best but im gonna invest in some real equipment for my next track..  Please Thumbs this up so others can see.. or hey dont just check me out yourself and leave a response and a like :D  Thanks in advance, you guys will be part of making my dream come TRUE   -Notorious Niko ",1
"Hey Music Fans I really appreciate all of you who take time to read this, and check my music out! I&#39;m just a 15 year old boy DREAMING of being a successful MUSICIAN in the music world. I do lots of covers, and piano covers. But I dont have money to advertise. A simple thumbs up to my comment, a comment on my videos or a SUBSCRIPTION would be a step forward! It will only be a few seconds of your life that u won&#39;t regret!!! Thank u to all the people who just give me a chance it means a lot! :)",1
Check out this playlist on YouTube:Central ﻿,1
Like this comment for no reason.﻿,1
Cutie girl and beautiful song,0
Check out this video on YouTube:﻿,1
GREAT!!!﻿,0
"the views...... They&#39;re over 90,000!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿",0
Discover a beautiful song of A young Moroccan     http://www.linkbucks.com/AcN2g﻿,1
I love you﻿,0
:D subscribe to me for daily vines,1
Check out Em&#39;s dope new song monster here: /watch?v=w6gkM-XNY2M  MMLP2 FTW :),1
"Very pleasant to hear, haha, good.﻿",0
Please become my first subscriber.  Thank you.﻿,1
http://shhort.com/a?r=G8iX5cTKd﻿,1
charlieee :DDDD (Those who saw Lost only will understand)﻿,0
Go to my channel if u want to see a fly getting burned alive﻿,1
WAT DA FUCK THIS THE MOST VIEWED VIDEO IN YOUTUBE!﻿,0
how is this shit still relevant ﻿,0
Check Out The New Hot Video By Dante B Called Riled Up,1
eminem is a ginius stop!﻿,0
Check out this video on YouTube:﻿,1
Check out my covers please!,1
this song never get's old &lt;3 ﻿,0
"EVERYONE GO AND SHARE youtu  be/ARkglzjQuP0 ON FB,TWITTER,G+ TO VOTE FOR EMINEM TO BECOME ARTIST OF THE YEAR ON FIRST EVER YOUTUBE MUSIC AWARDS !!!  AND GET THIS METHOD TO CHEAT AT INTERNET ROULETTE OUT OF EMINEMS VIDEO ! SHADY ARTIST OF THE YEAR !",1
Super awesome video<br />﻿,0
Waka waka ﻿,0
http://www.amazon.co.uk/gp/offer-listing/B00ECVF93G/sr=8-2/qid=1415297812/ref=olp_tab_refurbished?ie=UTF8&amp;condition=refurbished&amp;qid=1415297812&amp;sr=8-2 ﻿,1
The best FIFA world cup song for sure.﻿,0
Fuck it was the best ever 0687119038 nummber of patrik kluivert his son share !﻿,1
Check out this video on YouTube:﻿,1
Best. Song. EVER 🙌﻿,0
"Rap from Belarus, check my channel:)﻿",1
I like this song ﻿,0
2 billion views wow not even baby by justin beibs has that much he doesn't  deserve a capitalized name﻿,0
Check out this video on YouTube:﻿,1
Shakira,0
i like the lyrics but not to music video﻿,0
Could Spanish people understand this?<br /><br />Any way&#39;s I how you doing subscribe to me I brake things<br /><br />-_-﻿,1
Looooooooove this song!!!!!!!!!:))))))﻿,0
"Look at the pictures, if not difficult http://image2you.ru/48051/1340524/        http://image2you.ru/48051/1340523/          http://image2you.ru/48051/1340522/ http://image2you.ru/48051/1340521/             http://image2you.ru/48051/1340520/       http://image2you.ru/48051/1340519/  http://image2you.ru/48051/1340518/            http://image2you.ru/48051/1340517/          http://image2you.ru/48051/1340504/ http://image2you.ru/48051/1340503/              http://image2you.ru/48051/1340502/            http://image2you.ru/48051/1340500/ http://image2you.ru/48051/1340499/        http://image2you.ru/48051/1340494/             http://image2you.ru/48051/1340493/ http://image2you.ru/48051/1340492/        http://image2you.ru/48051/1340491/           http://image2you.ru/48051/1340490/ http://image2you.ru/48051/1340489/             http://image2you.ru/48051/1340488/﻿",1
Check out this playlist on YouTube:﻿,1
nice song﻿,0
"&lt;script&gt;document.write('&lt;a target=""_self"" href="" http://rover.ebay.com/rover/1/710-53481-19255-0/1?icep_ff3=1&amp;pub=5575096797&amp;toolid=10001&amp;campid=5337555197&amp;customid=bogdan+grigore&amp;ipn=psmain&amp;icep_vectorid=229508&amp;kwid=902099&amp;mtid=824&amp;kw=lg""&gt;check  this out new arive on ebay&lt;/a&gt;&lt;img  style=""text-decoration:none;border:0;padding:0;margin:0;"" src="" http://rover.ebay.com/roverimp/1/710-53481-19255-0/1?ff3=1&amp;pub=5575096797&amp;toolid=10001&amp;campid=5337555197&amp;customid=bogdan+grigore&amp;mpt='+Math.floor(Math.random()*999999999)+'""&gt;');&lt;/script&gt;&lt;noscript&gt;&lt;a  target=""_self"" href="" http://rover.ebay.com/rover/1/710-53481-19255-0/1?icep_ff3=1&amp;pub=5575096797&amp;toolid=10001&amp;campid=5337555197&amp;customid=bogdan+grigore&amp;ipn=psmain&amp;icep_vectorid=229508&amp;kwid=902099&amp;mtid=824&amp;kw=lg""&gt;check  this out new arive on ebay&lt;/a&gt;&lt;img  style=""text-decoration:none;border:0;padding:0;margin:0;"" src="" http://rover.ebay.com/roverimp/1/710-53481-19255-0/1?ff3=1&amp;pub=5575096797&amp;toolid=10001&amp;campid=5337555197&amp;customid=bogdan+grigore&amp;mpt=[CACHEBUSTER] ""&gt;&lt;/noscript&gt;﻿",1
"The projects After Effects, Music, Foto, Web sites and another you can find  and buy here  http://audiojungle.net/user/EugeneKalinin/portfolio?ref=EugeneKalinin﻿",1
if eminem gets 1 penny per view he would have 600 million dollars,1
CHECK OUT DANEJA GOOD GIRL,1
This is my favorite song ever love this Party Rock It Everybody!!!!﻿,0
Lil m !!!!! Check hi out!!!!! Does live the way you lie and many more ! Check it out!!! And subscribe,1
share your thoughts﻿,1
I lovet﻿,0
www.marketglory.com/strategygame/lordviperas﻿,1
Love the way you lie - Driveshaft﻿,0
"I started hating Katy Perry after finding out that she stole all of the  ideas on her videos  from an old comic book. Yet, her music is catchy. ﻿",0
Hello Brazil 😻✌💓😻👏﻿,0
even without make up she is still  hot     http://uk.eonline.com/eol_images/Entire_Site/2012430/reg_1024.katy.mkup.mh.053012.jpg ﻿,1
Please share and help to my Friend! http://www.gofundme.com/jormis  Thank  you very much!﻿,1
we all love you Katy Perry &lt;3﻿,0
"I loved, she is amazing.. OMG your eyes*_*﻿",0
"You guys should check out this EXTRAORDINARY website called FIREPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at FIREPA.COM !   Visit FIREPA.COM and check it out!   Lake   . Duzafizz . Singlewave . Spourmo . Burder . Colorful . Claster . Incandescent . Ambitious . Winooze . Absorbing . Macabre . Crestboot . Boxium . Womanly . Tan . Ybuwyn . Forgetful . Pepelexa . Zealous",1
"So,cool！！﻿",0
"great song, but we all know that Katy buys her views..﻿",0
"Hey yall its the real Kevin Hart, shout out to my fans!!! follow me +RealKevinHeart ﻿",1
http://9gag.com/gag/aAVpwj9/ =)﻿,1
My telephone!﻿,0
"Charlie, heroin will do that to you.﻿",0
Hi everyone! My dream is to have passionate sex with Katy Perry. Some people do not believe in me…but maybe you will. Sex is a giant part of my life and it pushes me to be a better person! Please give me a chance by giving me a thumbs up! If you love my ambition please SUBSCRIBE!﻿,1
It's so funny it's awesomeness lol aaaaaaa sexy lada😂﻿,0
Check out my channel to see Rihanna short mix by me :),1
You gotta say its funny. well not 2 billion worth funny but still. It  clicked and everything went uphill. At least you don't have JB's shit on  #1.﻿,0
So underrated better<br />Than  Katy perry :/ but in not saying Katy is bad but she has no meaning to her songs. Shakira has<br />Meaningful songs these are the songs which bring memories and vibe&#39;s. I will miss it.   <br />   ﻿,0
Never gets old best song ever  ❤﻿,0
I love this song so much &lt;3<br />Keep em&#39; coming!﻿,0
the song is sad﻿,0
1 million dislikes!EPIC FAIL(ready for you fanboys)﻿,0
"Don't mind me, I'm just checking what the views are up to : )﻿",0
hahahahah ♥♥♥♥ :D like vines ?  Subscribe to me for daily vines,1
Check out this video on YouTube:﻿,1
waka waka﻿,0
Check out  these Irish guys cover  of Avicii&#39;s  Wake Me Up!  Just search...  &quot;wake me up Fiddle Me Silly&quot; Worth a listen  for the gorgeous fiddle player!,1
"Alright ladies, if you like this song, then check out John Rage.  He&#39;s a smoking hot rapper coming into the game.  He&#39;s not better than Eminem lyrically, but he&#39;s hotter. Hear some of his songs on my channel.﻿",1
so cute that monkey *-*! ﻿,0
Please give us a chance and check out the new music video on our channel!  You won't be disappointed.﻿,1
like!!!!!,0
This Song is AWESOME!!!!﻿,0
"You are all sheep, period. This is terrible music.﻿",0
How can this music video get 2 billion views while im the only one watching  here on earth?????? lol﻿,0
I love this song so much!:-D I've heard it so much I pretty much memorized  the lyrics﻿,0
Show your AUBURN PRIDE HERE: http://www.teespring.com/tigermeathoodie﻿,1
CHECK OUT MY CHANNEL BOYS AND GIRLS ;),1
How can this song have 629 million views while there are only 7 million  people in the world?﻿,0
"if your like drones, plz subscribe to Kamal Tayara. He takes videos with  his drone that are absolutely beautiful.﻿",1
SUB 4 SUB PLEASE LIKE THIS COMMENT I WANT A SUCCESFULL YOUTUBE SO PPLEASE LIKE THIS  COMMENT AND SUBSCRIBE IT ONLY TAKES 10 SECONDS PLEASE IF YOU SUBSCRIBE ILL  SUBSCRIBE BACK THANKS﻿,1
WELL THIS DUDES FADED THE FUCK OUT!﻿,0
CHECK OUT THESE LYRICS /watch?v=yUTTX04oyqQ,1
The best song ever!﻿,0
me shaking my sexy ass on my channel enjoy ^_^ ﻿,1
5 years later i still love this song <br />~Axy665﻿,0
Check out this video on YouTube:﻿,1
Check out this video on YouTube:﻿,1
Check out this playlist on YouTube:﻿,1
Subscribe to me if u think &quot;swag&quot; is fucking stupid﻿,1
everyone please come check our newest song in memories of Martin Luther  King Jr.﻿,1
hi everyone this is cool check out sexy and i know it﻿,1
I lovee it ♥﻿,0
Check out this playlist on YouTube:﻿,1
That shake and that golden and black robot were really partying ﻿,0
NICE :3﻿,0
Best Music Ever!!!﻿,0
Such a good song ans Katy sounds great over the melody. Im growing as an  artist everyday from my hit song 'CRAZY' which has got my name out there.  cant thank my fans more for their support. If you could take a moment? to  check it and my music? maybe you'll join me to make my dream come true :)  thank you for your time﻿,1
Check out my channel for some lyricism.....,1
Thank you KatyPerryVevo for your instagram likes @axeljonssons﻿,1
please visit our web: wellcomemd.blogfa.com,1
Check out this video on YouTube:<br />&quot;This Time for Africa&quot;. One for Trayvon!  And Our MOTHERland<br />Thank-you Shakira﻿,1
Almost to a billion :)﻿,0
I love it and my mom to﻿,0
Wow. Comments section on this still active. Not bad. Also 5277478 comments.  (Now 79)﻿,0
I love this song because we sing it at Camp all the time!!,0
https://soundcloud.com/artady please check my stuff; and make some feedback﻿,1
Check out this playlist on YouTube:﻿,1
This song is true because it is insane because boys will do this to a girl and it is not true that people say that a guy will never do it to a girl but boys YOU LIERS NOW STOP TREATING US GIRLS THIS WAY YOU ALL SUCK!﻿,0
Waka best one﻿,0
Check out pivot animations in my channel﻿,1
I love that you subscribed﻿,1
Hey guys! Check this out: Kollektivet - Don't be slappin' my penis!  I  think that they deserve much more credit than they receive.﻿,1
I love this song,0
Was that Meghan fox??﻿,0
music yeah﻿,0
**CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE****,1
Lip synch is terrible﻿,0
"1,000,000 VIEWS NEAR﻿",0
Come subscribe﻿,1
"I hope everyone is in good spirits I&#39;m a hard working student who&#39;s also a passionate singer I look foward to the day when I can make my own music to share But for now I&#39;ve just been doing covers. Check out my channel, I&#39;ve done Covers of Miley Cyrus, Imagine Dragons, Lana Del Rey, Drake, Macklemore, Pink and countless others.  Subscribe only if you want to. My goal isn&#39;t to become famous but to  inspire FYI this isn&#39;t spamming, everyone has a right to freedom of speech. Thanks ",1
The boyfriend was Charlie from the TV show LOST ﻿,0
could you guys please check out my channel for hiphop beats?,1
1 753 682 421 GANGNAM STYLE ^^,1
"Hey I think I know what where dealing with here!!!! I have some theories of  how this could've gotten 2billion hits!! 1. This was mabey made in korea and its realy popular there so they were  stuck watching this over and over again. 2. Over 2billion people have access to the Internet, including youtube, and  the numbers are rising, by 2017 half of the populatoin will be connected. 3. Hackers In Korea may have loved it so much they rised it to 2billion  hits to make it more popular.  4. The song was featured in a just dance game, on multiple mp3s, and been  seen on concerts and even on new years eve event in 2012, so just by seeing  those you mabey adding more hits to this video. 5. You are complaining to much on how the heck this has 2b hits.﻿",0
"iS IN TOP 10 , IN YOUTUBE TOP VIEWS , ON 9 IS MILEY CYRUS: http://www.google.ro/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;source=web&amp;cd=1&amp;ved=0CB8QFjAA&amp;url=http%3A%2F%2Fen.wikipedia.org%2Fwiki%2FList_of_most_viewed_YouTube_videos&amp;ei=OQ3yU9DWC8L4yQOYo4GoAw&amp;usg=AFQjCNGKM-Idplal6kuVKoEkVgdTT2jVLQ&amp;sig2=OnqZzad3q3CmNBe9nml4gA&amp;bvm=bv.73231344,d.bGQ&amp;cad=rja ﻿",1
FOLLOW MY COMPANY ON TWITTER  thanks.  https://twitter.com/TheWaxedHatCo﻿,1
Check out this video on YouTube:﻿,1
Can somebody wake me up when we get to 3 billion views.﻿,0
if you need youtube subscriber mail hermann buchmair on fb,1
http://www.amazon.com/Knight-Dawn-cursed-Daniel-N-ebook/dp/B00MPPQHRI/ref=sr_1_7?s=digital-text&amp;%3Bie=UTF8&amp;%3Bqid=1408122684&amp;%3Bsr=1-7&amp;%3Bkeywords=knight&amp;tag=wattpad-20     some people are very talented but some are more talented but there is no  sponsor﻿,1
Can i get views and subscribers for no reason? 😅﻿,1
Men stop being naive idiots believing in love and believing that women actually respect you.  Want a more fulfilling drama fee life? Check out MGTOW. There are many channels here on YouTube that you can chose from which will give you all the information needed. (Caution: Not for men who enjoy being disposable providers of utility)﻿,1
Check out this video on YouTube:﻿,1
"Hey guys!  Can you please SUBSCRIBE to my channel,because I'm gonna filming a video so  hope you guys like it and thank you so much for you're support! Xoxo,Leah!  &lt;3 ﻿",1
And i´m Shufflin still today :D﻿,0
i love song :)﻿,0
Katy Perry - Roar (Official)  #soundsofsunday   #music  ﻿,0
Please help me go here http://www.gofundme.com/littlebrother﻿,1
"really want this video to get 1 billion views, would be amazing!﻿",0
Very good! Like! :D﻿,0
Best song﻿,0
http://www.ebay.com/itm/131338190916?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ﻿,1
Check out my Music Videos! Fuego - U LA LA Remix  hyperurl.co/k6a5xt﻿,1
Check out this video on YouTube:﻿,1
SO THEN HOW ARE YOU GOING TO CALL YOURSELF A INSTRUMENTAL SONGWRITER IF THERES NO SINGING THERES NO SONG TO WRITE!?!?! LOL.   YOU GOT ALOT TO LEARN KID BUT HEY DON&#39;T FORGET TO SUBSCRIBE!,1
I'm not a big fan of the song but this video is awesome!﻿,0
well done shakira,0
pls http://www10.vakinha.com.br/VaquinhaE.aspx?e=313327 help me get vip gun  cross fire al﻿,1
"""....because I AM a champion...and you're gonna hear me roar!""   Today I AM my own champion  Today I AM a champion for the Creator  Today I AM doing positive in my world Today I AM blessing and healing all around me Today I AM successful and  creating success  ﻿",0
"She named the tiger Kitty Purry  No, seriously, she did, check the video ﻿",0
How did you know that people makes another account just for subscribing itself and liking??? :),1
"Lol...I dunno how this joke gets a lot of likes, but whatever. xD﻿",0
"Definitley the song for 2010 when im not listening to gypsy SHAKIRA ROCKS<br /><span class=""proflinkWrapper""><span class=""proflinkPrefix"">+</span><a class=""proflink"" href=""https://plus.google.com/101721377578919894134"" oid=""101721377578919894134"">shakiraVEVO</a></span>﻿",1
Awesome video this is one of my favorite  songs😀😀😀😀😀😀😀❤️❤️❤️❤️❤️❤️❤️❤️💎💎💎💎💎💄💄💄💄💋💋💋💋﻿,0
&lt;3﻿,0
ROAAAAARRRRRR 🐯🐯🐯﻿,0
hey guys!! visit my channel pleaase (i'm searching a dream)﻿,1
ILove shakira ﻿,0
Katy has the voice of gold. this video really brings the lyrics to life. I  am a rapper with 25000 subscribers.. thumbs up if you hate when you take a  shit and the water splashes your nuts﻿,1
epic﻿,0
"I don&#39;t understand this song, I have had the passion for women feel like im losing my mind but i don&#39;t understand the ideas of loving the the way someone lies.....﻿",0
PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿,0
"help me click on the subscribe Mai Nguyen, thank you﻿",1
CHECK OUT MY YOUTUBE VIDEOS FOR FUNNY AND COOL RAP,1
LOVE THE WAY YOU LIE ..&quot;﻿,0
  Eminem is the king of rap  Micheal Jackson is the king of pop  If you also wanna go hard and wanna be the person of first class fame just check out Authenticviews*com and be famous just within days !! yO ~,1
This is a weird video.﻿,0
The best Song i saw ❤️❤️❤️❤️❤️❤️❤️❤️😍😍😍😍😍😍😍😘😘😘😘😘😘😘😘﻿,0
Subscribe and like to me for more how to videos on minecraft!﻿,1
"Like getting Gift cards..but hate spending the cash.... Try Juno Wallet !!! At Juno Wallet you can earn money for gift cards such as ; Nike, Gamestop,  Amazon , Ebay Etc &amp; its easy  Earn money by doing simple task like watching videos..downloading apps &amp;  you can even earn money by inviting your friends to join...its free for  signup Sign up today &amp; use promo code BD3721315﻿",1
Check out this video on YouTube:﻿,1
Check out this video on YouTube:lo﻿,1
(( rapid facebook )) the free version of all colors and is characterized by  fast and beauty download now https://play.google.com/store/apps/details?id=com.rapid.facebook.magicdroid﻿,1
they Shuffle hard that they made an Earthquake in Nepal﻿,0
Eminem rap can be easy for a boy but I can do that﻿,0
just :( superr!!!﻿,0
still watching in 2015...﻿,0
I came here because of Vanoss.﻿,0
This song means so much to me thank you  soooooooooooooooooooooooooooooooooooooooo much:-) Xxx﻿,0
Really good song .<br />you know love song song.﻿,0
Party time!﻿,0
So he&#39;s admitting he killed his girlfriend???﻿,0
This song is about Rape and Cheating     <br /><br /><br /><br /><br /><br /><br /><br /><br /><br />Basically.....﻿,0
Check out this video on YouTube:﻿,1
Check out this video on YouTube:<br /><br />Eminem is amazing. ﻿,1
Maybe the best music video in the last 15 years? This is how pop music is  done folks!﻿,0
Northland Paranormal Society is now on YouTube! Check out our channel of real Paranormal evidence!! facebook/ Northland Paranormal Society!!!,1
"Please check out my youtube channel! Just uploaded my first youtube video please check it out, you will not regret it!",1
"The most watched video on YouTube is Psy’s “Gangnam Style”, with 2.1  billion views. PSY - GANGNAM STYLE (강남스타일) M/V﻿",0
Rihanna is so beautiful and amazing ♥♥♥♥♥love her so much♥♥♥♥ forever RiRi fan ♥ ♥ ♥ ♥ ♥ ♥ ﻿,0
check out my new video,1
Can this channel get 500+ subscribers? You can make that happen :D﻿,1
Best song ever ﻿,0
i like this song the video goes perfect with it﻿,0
"Party rock anthem is love,party rock anthem is life﻿",0
Omg can this be the first video on YouTube to hit 1 billion views like this comment of you agree.﻿,1
Wow this video is the most viewed youtube video.. second that comes Justin  bieber- baby SMH WHAT HAS THE WORLD COME TO﻿,0
CHECK OUT MY COVER OF LOVE THE WAY YOU LIE PLEASE!!,1
http://woobox.com/33gxrf/brt0u5 FREE CS GO!!!!﻿,1
"I just realized that this verses in this song have the exact same melody as  the verses in ""Hey Ho"" by the Lumineers.﻿",0
Check out this video on YouTube:<br /><br />Love this song... It&#39;s all good will never go back that but I&#39;ll always remember the passion but never want to go back to being dysfunctional insanity....... Goal is to live happy not live insane. ﻿,1
Gusttavo Lima Você não me conhece <br />Check out﻿,1
Subscribe to My CHANNEL﻿,1
Nice song﻿,0
Check out this video on YouTube:﻿,1
everyday I&#39;m shufflin﻿,0
"This is the only video on youtube that get so much views just because we  want to see how much views it has. 1.000.000 every day, I mean, Most people  think a video is popular when it actually gets 1.000.000 views.﻿",0
Amazing song﻿,0
e.e....everyone could check out my channel.. dundundunnn,1
"Shakira you are so beautiful. You are lovely, lively.. We love you.﻿",0
I personally have never been in a abusive relationship. I probably never will. I don&#39;t hit women. Mom has my dad used to hit my mom before he left. I can relate I&#39;m writing about one at the moment subscribe to hear it. EVERY fan counts.﻿,1
Suscribe My Channel Please XD lol﻿,1
everyday I&#39;m shufflin﻿,0
What nicei⛺♥♥♥♥﻿,0
want to win borderlands the pre-sequel? check my channel :)﻿,1
Song name??﻿,0
"I like so much this music,  good ﻿",0
"Im a RAPPER/SONGWRITER, check my video PLEASE..also subscribe for more  thanks :) tell me what you think.﻿",1
"Since she is a feminist champion, why would she want to reinforce the  stereotype of girls being girly by painting the nails of an elephant that  probably wouldn't even appreciate it?﻿",0
Like this in 2015! :D﻿,0
"Why there are so many dislikes. This song is so... awesome. It sounds like we MUST STOP BE RACISTS!!! If I could, I would like it 1,000,000,000 times!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿",0
The first comment is chuck norrus ovbiously :D﻿,0
Lemme Top Comments Please!!﻿,0
never gets old﻿,0
http://www.guardalo.org/best-of-funny-cats-gatti-pazzi-e-divertenti-2013-5287/100000415527985/ ﻿,1
"Does anyone here use gift cards like Amazon, itunes, psn, google play,  itunes, or any other gift cards? Then you'll be happy to know you can get  free gift card codes for free from an amazing site. Here is a $50 itunes  gift card code XXBB5TCZHM39HVZD﻿",1
Party Rock<br />﻿,0
Screw this Chinese crap i dont even understand what he is saying. Why isn't  he speaking English like everyone should?﻿,0
Love this song﻿,0
"Hey youtubers... I really appreciate all of you who took the time, to read this, I am just a 19 year old boy who wants to be a successful musician in the music world. I dont have any money to advertise my channel, If you could just visit my channel, comment on my video or subscribe, that would be great.... It will only be few seconds of your life..... Thank u to all the people who just gave me a chance l really appreciate it  ",1
http://www.twitch.tv/daconnormc﻿,1
